0,0,0,1,0,load
0,1,1,4,0,load
0,2,2,1,0,load
0,3,3,2,0,load
0,4,4,2,0,load
0,5,5,4,0,load
0,6,6,4,0,load
0,7,7,2,0,load
0,8,8,4,0,load
0,9,9,1,0,load
0,10,10,3,0,load
0,11,11,0,0,load
0,12,12,0,0,load
0,13,13,0,0,load
0,14,14,4,0,load
0,15,15,1,0,load
0,16,16,3,0,load
0,17,17,3,0,load
0,18,18,1,0,load
0,19,19,2,0,load
0,0,0,1,0,blocked
0,1,1,4,0,blocked
0,2,2,1,0,blocked
0,3,3,2,0,blocked
0,4,4,2,0,blocked
0,5,5,4,0,blocked
0,6,6,4,0,blocked
0,7,7,2,0,blocked
0,8,8,4,0,blocked
0,9,9,1,0,blocked
0,10,10,3,0,blocked
0,11,11,0,0,blocked
0,12,12,0,0,blocked
0,13,13,0,0,blocked
0,14,14,4,0,blocked
0,15,15,1,0,blocked
0,16,16,3,0,blocked
0,17,17,3,0,blocked
0,18,18,1,0,blocked
0,19,19,2,0,blocked
101,0,0,1,0,unblocked
101,1,1,4,0,unblocked
101,2,2,1,0,unblocked
101,3,3,2,0,unblocked
101,4,4,2,0,unblocked
101,5,5,4,0,unblocked
101,6,6,4,0,unblocked
101,7,7,2,0,unblocked
101,8,8,4,0,unblocked
101,9,9,1,0,unblocked
101,10,10,3,0,unblocked
101,10,10,3,0,branch_from
101,10,10,3,0,branch_to
101,11,11,0,0,unblocked
101,12,12,0,0,unblocked
101,13,13,0,0,unblocked
101,14,14,4,0,unblocked
101,15,15,1,0,unblocked
101,16,16,3,0,unblocked
101,16,16,3,0,branch_from
101,16,16,3,0,branch_to
101,17,17,3,0,unblocked
101,17,17,3,0,branch_from
101,17,17,3,0,branch_to
101,18,18,1,0,unblocked
101,19,19,2,0,unblocked
229,0,0,1,128,blocked
229,1,1,4,128,blocked
229,2,2,1,128,blocked
229,3,3,2,128,blocked
229,4,4,2,128,blocked
229,5,5,4,128,blocked
229,6,6,4,128,blocked
229,7,7,2,128,blocked
229,8,8,4,128,blocked
229,9,9,1,128,blocked
229,11,11,0,128,blocked
229,12,12,0,128,blocked
229,13,13,0,128,blocked
229,14,14,4,128,blocked
229,15,15,1,128,blocked
229,18,18,1,128,blocked
229,19,19,2,128,blocked
230,10,10,3,128,blocked
230,16,16,3,128,blocked
230,17,17,3,128,blocked
329,0,0,1,128,unblocked
329,1,1,4,128,unblocked
329,2,2,1,128,unblocked
329,3,3,2,128,unblocked
329,4,4,2,128,unblocked
329,5,5,4,128,unblocked
329,6,6,4,128,unblocked
329,7,7,2,128,unblocked
329,8,8,4,128,unblocked
329,9,9,1,128,unblocked
329,11,11,0,128,unblocked
329,12,12,0,128,unblocked
329,13,13,0,128,unblocked
329,14,14,4,128,unblocked
329,15,15,1,128,unblocked
329,18,18,1,128,unblocked
329,19,19,2,128,unblocked
330,10,10,3,128,unblocked
330,16,16,3,128,unblocked
330,17,17,3,128,unblocked
701,5,5,4,500,branch_from
701,5,5,4,503,branch_to
701,8,8,4,500,branch_from
701,8,8,4,503,branch_to
701,14,14,4,500,branch_from
701,14,14,4,503,branch_to
702,1,1,4,501,branch_from
702,1,1,4,0,branch_to
702,5,5,4,503,branch_from
702,5,5,4,0,branch_to
702,6,6,4,501,branch_from
702,6,6,4,0,branch_to
702,8,8,4,503,branch_from
702,8,8,4,0,branch_to
702,14,14,4,503,branch_from
702,14,14,4,0,branch_to
703,1,1,4,0,blocked
703,5,5,4,0,blocked
703,6,6,4,0,blocked
703,8,8,4,0,blocked
703,14,14,4,0,blocked
803,1,1,4,0,unblocked
803,5,5,4,0,unblocked
803,6,6,4,0,unblocked
803,8,8,4,0,unblocked
803,14,14,4,0,unblocked
1303,1,1,4,500,branch_from
1303,1,1,4,503,branch_to
1303,8,8,4,500,branch_from
1303,8,8,4,503,branch_to
1304,1,1,4,503,branch_from
1304,1,1,4,0,branch_to
1304,5,5,4,501,branch_from
1304,5,5,4,0,branch_to
1304,6,6,4,501,branch_from
1304,6,6,4,0,branch_to
1304,8,8,4,503,branch_from
1304,8,8,4,0,branch_to
1304,14,14,4,501,branch_from
1304,14,14,4,0,branch_to
1330,0,0,1,1129,branch_from
1330,0,0,1,0,branch_to
1330,2,2,1,1129,branch_from
1330,2,2,1,0,branch_to
1330,9,9,1,1129,branch_from
1330,9,9,1,0,branch_to
1330,15,15,1,1129,branch_from
1330,15,15,1,0,branch_to
1330,18,18,1,1129,branch_from
1330,18,18,1,0,branch_to
1331,0,0,1,0,blocked
1331,2,2,1,0,blocked
1331,9,9,1,0,blocked
1331,15,15,1,0,blocked
1331,18,18,1,0,blocked
1431,0,0,1,0,unblocked
1431,2,2,1,0,unblocked
1431,9,9,1,0,unblocked
1431,15,15,1,0,unblocked
1431,18,18,1,0,unblocked
1602,11,11,0,1401,branch_from
1602,11,11,0,1533,branch_to
1602,12,12,0,1401,branch_from
1602,12,12,0,1533,branch_to
1602,13,13,0,1401,branch_from
1602,13,13,0,1533,branch_to
1603,11,11,0,1533,branch_from
1603,11,11,0,0,branch_to
1603,12,12,0,1533,branch_from
1603,12,12,0,0,branch_to
1603,13,13,0,1533,branch_from
1603,13,13,0,0,branch_to
1604,11,11,0,0,blocked
1604,12,12,0,0,blocked
1604,13,13,0,0,blocked
1704,11,11,0,0,unblocked
1704,12,12,0,0,unblocked
1704,13,13,0,0,unblocked
1805,1,1,4,500,branch_from
1805,1,1,4,503,branch_to
1805,5,5,4,500,branch_from
1805,5,5,4,503,branch_to
1805,6,6,4,500,branch_from
1805,6,6,4,503,branch_to
1805,8,8,4,500,branch_from
1805,8,8,4,503,branch_to
1806,1,1,4,503,branch_from
1806,1,1,4,0,branch_to
1806,5,5,4,503,branch_from
1806,5,5,4,0,branch_to
1806,6,6,4,503,branch_from
1806,6,6,4,0,branch_to
1806,8,8,4,503,branch_from
1806,8,8,4,0,branch_to
1806,14,14,4,501,branch_from
1806,14,14,4,0,branch_to
1883,3,3,2,1682,branch_from
1883,3,3,2,1166,branch_to
1883,4,4,2,1682,branch_from
1883,4,4,2,1166,branch_to
1883,7,7,2,1682,branch_from
1883,7,7,2,1166,branch_to
1883,19,19,2,1682,branch_from
1883,19,19,2,1166,branch_to
1884,3,3,2,1166,blocked
1884,4,4,2,1166,blocked
1884,7,7,2,1166,blocked
1884,19,19,2,1166,blocked
